434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,Sorachi Ace,19 IBU,Special roast,Light Lager,15.3°Blg,Kirin,4551.000000,Westmalle Trappist Tripel
6685.000000,Caramel,Kirin Inchiban,Dark Lager,2042 - Danish Lager,6.1°Blg,Rolling Rock,40 IBU,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,Bitter Gold
Carapils,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8°Blg,100 IBU,Tahoma,5925.000000,Alpha King Pale Ale,1056 - American Ale,6.8%,Paulaner
2.9%,Sorachi Ace,19 IBU,4551.000000,Special roast,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,15.3°Blg,Kirin,Light Lager,1318 - London Ale III
8.5%,6.1°Blg,40 IBU,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,Rolling Rock,Bitter Gold,6685.000000,Caramel,2042 - Danish Lager
Tahoma,5925.000000,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,Carapils,Belgian Strong Ale,Paulaner,100 IBU
1318 - London Ale III,2.9%,Kirin,Sorachi Ace,19 IBU,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,15.3°Blg,4551.000000,Special roast,Light Lager
6685.000000,Dark Lager,2042 - Danish Lager,6.1°Blg,Rolling Rock,40 IBU,Caramel,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,Bitter Gold
Tahoma,100 IBU,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,Alpha King Pale Ale,Belgian Strong Ale,Paulaner,5925.000000
2.9%,15.3°Blg,Sorachi Ace,19 IBU,4551.000000,Westmalle Trappist Tripel,Kirin,Special roast,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III
Rolling Rock,6685.000000,Kirin Inchiban,2042 - Danish Lager,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Bitter Gold,40 IBU,Caramel
Belgian Strong Ale,6.8%,6.8°Blg,Tahoma,100 IBU,5925.000000,Carapils,Alpha King Pale Ale,Paulaner,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale
Kirin,19 IBU,4551.000000,Light Lager,1318 - London Ale III,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,15.3°Blg,Sorachi Ace,Special roast,Westmalle Trappist Tripel
Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,Rolling Rock,Bitter Gold,6685.000000,Caramel,8.5%,6.1°Blg,40 IBU
6.8°Blg,Paulaner,Tahoma,5925.000000,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,100 IBU,Carapils,Alpha King Pale Ale,Belgian Strong Ale
4551.000000,Special roast,1318 - London Ale III,15.3°Blg,Kirin,19 IBU,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Sorachi Ace
6.1°Blg,Bitter Gold,40 IBU,6685.000000,Caramel,Dark Lager,8.5%,Rolling Rock,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager
6.8°Blg,Paulaner,Tahoma,5925.000000,Carapils,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Alpha King Pale Ale,1056 - American Ale,100 IBU
2.9%,Sorachi Ace,19 IBU,Special roast,Westmalle Trappist Tripel,Light Lager,15.3°Blg,Kirin,4551.000000,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III
6.1°Blg,2042 - Danish Lager,6685.000000,Caramel,Kirin Inchiban,Dark Lager,8.5%,Rolling Rock,Bitter Gold,40 IBU,3c701fa7-00e4-4240-ae07-378d79f5b732
6.8°Blg,Tahoma,Belgian Strong Ale,1056 - American Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Paulaner,100 IBU,5925.000000,Carapils,Alpha King Pale Ale
434e1596-f627-4f4f-926c-5993fea25d58,Kirin,4551.000000,Westmalle Trappist Tripel,Light Lager,Special roast,1318 - London Ale III,2.9%,15.3°Blg,Sorachi Ace,19 IBU
6.1°Blg,6685.000000,Dark Lager,2042 - Danish Lager,Caramel,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,Rolling Rock,Bitter Gold,40 IBU
6.8°Blg,Tahoma,Alpha King Pale Ale,1056 - American Ale,6.8%,Paulaner,100 IBU,5925.000000,Carapils,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Kirin,4551.000000,Special roast,15.3°Blg,Sorachi Ace,19 IBU,1318 - London Ale III
Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Bitter Gold,6685.000000,Caramel,Rolling Rock,40 IBU,2042 - Danish Lager
6.8%,6.8°Blg,Tahoma,100 IBU,Alpha King Pale Ale,Belgian Strong Ale,Paulaner,5925.000000,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale
4551.000000,1318 - London Ale III,Westmalle Trappist Tripel,Light Lager,2.9%,15.3°Blg,Kirin,Sorachi Ace,19 IBU,Special roast,434e1596-f627-4f4f-926c-5993fea25d58
8.5%,Bitter Gold,6685.000000,Caramel,Kirin Inchiban,2042 - Danish Lager,6.1°Blg,Rolling Rock,40 IBU,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732
6.8%,Paulaner,Tahoma,Alpha King Pale Ale,Belgian Strong Ale,6.8°Blg,100 IBU,5925.000000,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale
434e1596-f627-4f4f-926c-5993fea25d58,Kirin,Sorachi Ace,4551.000000,Special roast,Westmalle Trappist Tripel,2.9%,15.3°Blg,19 IBU,Light Lager,1318 - London Ale III
6685.000000,Caramel,Dark Lager,2042 - Danish Lager,8.5%,Rolling Rock,Bitter Gold,40 IBU,6.1°Blg,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732
1056 - American Ale,6.8%,Paulaner,5925.000000,Carapils,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8°Blg,Tahoma,100 IBU,Alpha King Pale Ale
2.9%,Kirin,4551.000000,Special roast,Light Lager,15.3°Blg,Sorachi Ace,19 IBU,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III
6.1°Blg,Rolling Rock,Bitter Gold,6685.000000,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,40 IBU,Caramel,Kirin Inchiban,Dark Lager
100 IBU,Carapils,Belgian Strong Ale,1056 - American Ale,6.8°Blg,Paulaner,Tahoma,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,5925.000000,Alpha King Pale Ale
434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Sorachi Ace,Westmalle Trappist Tripel,4551.000000,Special roast,Light Lager,1318 - London Ale III,15.3°Blg,Kirin,19 IBU
Bitter Gold,40 IBU,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,6685.000000,Caramel
Carapils,Belgian Strong Ale,1056 - American Ale,6.8%,6.8°Blg,Paulaner,Tahoma,100 IBU,5925.000000,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
2.9%,15.3°Blg,Sorachi Ace,Special roast,434e1596-f627-4f4f-926c-5993fea25d58,Kirin,19 IBU,4551.000000,Westmalle Trappist Tripel,Light Lager,1318 - London Ale III
Dark Lager,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,40 IBU,6685.000000,Caramel,Bitter Gold,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732
100 IBU,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,5925.000000,Carapils,Alpha King Pale Ale,Paulaner,Tahoma
4551.000000,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,15.3°Blg,Kirin,Sorachi Ace,19 IBU,Special roast
2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,40 IBU,6685.000000,Caramel,Kirin Inchiban
Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,Paulaner,Alpha King Pale Ale,Tahoma,100 IBU,5925.000000,Carapils,6.8%,6.8°Blg
15.3°Blg,Special roast,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,Sorachi Ace,19 IBU,4551.000000,Kirin
8.5%,Rolling Rock,Bitter Gold,Caramel,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,6.1°Blg,40 IBU,6685.000000,Kirin Inchiban,Dark Lager
6.8%,6.8°Blg,1056 - American Ale,5925.000000,Carapils,Alpha King Pale Ale,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,Paulaner,Tahoma,100 IBU
Special roast,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,Kirin,Sorachi Ace,19 IBU,15.3°Blg,4551.000000,Westmalle Trappist Tripel,Light Lager
3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,6.1°Blg,Rolling Rock,Caramel,6685.000000,Kirin Inchiban,Dark Lager,8.5%,Bitter Gold,40 IBU
6.8°Blg,100 IBU,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,Tahoma,5925.000000,Carapils,Alpha King Pale Ale,Belgian Strong Ale,Paulaner
Light Lager,1318 - London Ale III,Special roast,15.3°Blg,Kirin,Sorachi Ace,19 IBU,4551.000000,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,2.9%
Bitter Gold,40 IBU,Caramel,Kirin Inchiban,6.1°Blg,Rolling Rock,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6685.000000
Paulaner,Alpha King Pale Ale,Belgian Strong Ale,1056 - American Ale,6.8%,6.8°Blg,Tahoma,100 IBU,5925.000000,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
15.3°Blg,Kirin,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Sorachi Ace,19 IBU,4551.000000,Special roast,1318 - London Ale III
Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,40 IBU,6685.000000,Caramel,Dark Lager
6.8°Blg,Paulaner,Tahoma,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,100 IBU,5925.000000,Alpha King Pale Ale,Belgian Strong Ale
1318 - London Ale III,Sorachi Ace,19 IBU,4551.000000,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,15.3°Blg,Kirin,Special roast,Westmalle Trappist Tripel
Rolling Rock,6685.000000,Caramel,2042 - Danish Lager,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Bitter Gold,40 IBU,Kirin Inchiban
Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,100 IBU,Carapils,Paulaner,Tahoma,5925.000000,Belgian Strong Ale
Kirin,19 IBU,Special roast,Westmalle Trappist Tripel,Light Lager,15.3°Blg,Sorachi Ace,4551.000000,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%
3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Rolling Rock,40 IBU,6685.000000,Caramel,Kirin Inchiban,2042 - Danish Lager,Bitter Gold,Dark Lager
2.9%,15.3°Blg,Kirin,19 IBU,Special roast,Westmalle Trappist Tripel,Sorachi Ace,4551.000000,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III
er,1318 - London Ale III,15.3°Blg,Kirin,19 IBU
Bitter Gold,40 IBU,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,6685.000000,Caramel
Carapils,Belgian Strong Ale,1056 - American Ale,6.8%,6.8°Blg,Paulaner,Tahoma,100 IBU,5925.000000,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
2.9%,15.3°Blg,Sorachi Ace,Special roast,434e1596-f627-4f4f-926c-5993fea25d58,Kirin,19 IBU,4551.000000,Westmalle Trappist Tripel,Light Lager,1318 - London Ale III
Dark Lager,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,40 IBU,6685.000000,Caramel,Bitter Gold,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732
100 IBU,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,5925.000000,Carapils,Alpha King Pale Ale,Paulaner,Tahoma
4551.000000,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,15.3°Blg,Kirin,Sorachi Ace,19 IBU,Special roast
2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,40 IBU,6685.000000,Caramel,Kirin Inchiban
Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,Paulaner,Alpha King Pale Ale,Tahoma,100 IBU,5925.000000,Carapils,6.8%,6.8°Blg
15.3°Blg,Special roast,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,Sorachi Ace,19 IBU,4551.000000,Kirin
8.5%,Rolling Rock,Bitter Gold,Caramel,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,6.1°Blg,40 IBU,6685.000000,Kirin Inchiban,Dark Lager
6.8%,6.8°Blg,1056 - American Ale,5925.000000,Carapils,Alpha King Pale Ale,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,Paulaner,Tahoma,100 IBU
Special roast,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,Kirin,Sorachi Ace,19 IBU,15.3°Blg,4551.000000,Westmalle Trappist Tripel,Light Lager
3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,6.1°Blg,Rolling Rock,Caramel,6685.000000,Kirin Inchiban,Dark Lager,8.5%,Bitter Gold,40 IBU
6.8°Blg,100 IBU,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,Tahoma,5925.000000,Carapils,Alpha King Pale Ale,Belgian Strong Ale,Paulaner
Light Lager,1318 - London Ale III,Special roast,15.3°Blg,Kirin,Sorachi Ace,19 IBU,4551.000000,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,2.9%
Bitter Gold,40 IBU,Caramel,Kirin Inchiban,6.1°Blg,Rolling Rock,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6685.000000
Paulaner,Alpha King Pale Ale,Belgian Strong Ale,1056 - American Ale,6.8%,6.8°Blg,Tahoma,100 IBU,5925.000000,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
15.3°Blg,Kirin,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Sorachi Ace,19 IBU,4551.000000,Special roast,1318 - London Ale III
Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,40 IBU,6685.000000,Caramel,Dark Lager
6.8°Blg,Paulaner,Tahoma,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,100 IBU,5925.000000,Alpha King Pale Ale,Belgian Strong Ale
1318 - London Ale III,Sorachi Ace,19 IBU,4551.000000,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,15.3°Blg,Kirin,Special roast,Westmalle Trappist Tripel
Rolling Rock,6685.000000,Caramel,2042 - Danish Lager,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Bitter Gold,40 IBU,Kirin Inchiban
Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,100 IBU,Carapils,Paulaner,Tahoma,5925.000000,Belgian Strong Ale
Kirin,19 IBU,Special roast,Westmalle Trappist Tripel,Light Lager,15.3°Blg,Sorachi Ace,4551.000000,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%
3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Rolling Rock,40 IBU,6685.000000,Caramel,Kirin Inchiban,2042 - Danish Lager,Bitter Gold,Dark Lag1056 - American Ale,6.8%,100 IBUg,6685.000000,Caramel,Dark Lager,2042 - Danish Lager,8.5%,Rolling Rock,Bitter Gold,40 IBU,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732
- Londo,Carapils,Alpha King Pale Ale,Belgian Strong Ale,6.8°Blg,Paulaner,Tahoma,5925.000000,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
6.8°Blg,Tahoma,5925.000000,6.8%,Paulaner,100 IBU,Carapils,Alpha King Pale Ale,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale
Kirin,Sorachi Ace,19 IBU,4551.000000,Special roast,Light Lager,2.9%,15.3°Blg,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III
Rolling Rock,Bitter Gold,Caramel,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,40 IBU,6685.000000
Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,6.8°Blg,100 IBU,5925.000000,Alpha King Pale Ale,Paulaner,Tahoma,Carapils,1056 - American Ale
2.9%,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,15.3°Blg,Kirin,Sorachi Ace,19 IBU,4551.000000,Special roast,Westmalle Trappist Tripel,1318 - London Ale III
6685.000000,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,40 IBU,Caramel
Paulaner,Tahoma,5925.000000,Belgian Strong Ale,6.8%,6.8°Blg,100 IBU,Carapils,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale
15.3°Blg,Kirin,Sorachi Ace,19 IBU,Special roast,Westmalle Trappist Tripel,Light Lager,1318 - London Ale III,2.9%,4551.000000,434e1596-f627-4f4f-926c-5993fea25d58
40 IBU,Caramel,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,6685.000000,Kirin Inchiban,2042 - Danish Lager,Rolling Rock,Bitter Gold
1056 - American Ale,6.8°Blg,5925.000000,Carapils,100 IBU,Alpha King Pale Ale,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Paulaner,Tahoma
19 IBU,4551.000000,Special roast,Light Lager,1318 - London Ale III,Kirin,15.3°Blg,Sorachi Ace,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,2.9%
2042 - Danish Lager,Rolling Rock,Caramel,Kirin Inchiban,Dark Lager,6685.000000,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg,Bitter Gold,40 IBU
5925.000000,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,Tahoma,6.8°Blg,Paulaner,100 IBU,Carapils,Alpha King Pale Ale,1056 - American Ale,6.8%
Special roast,Westmalle Trappist Tripel,2.9%,15.3°Blg,Kirin,Sorachi Ace,19 IBU,4551.000000,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III
8.5%,6685.000000,Caramel,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,6.1°Blg,Rolling Rock,Bitter Gold,40 IBU,2042 - Danish Lager
5925.000000,Alpha King Pale Ale,1056 - American Ale,6.8%,6.8°Blg,Paulaner,Tahoma,100 IBU,Carapils,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
Kirin,Sorachi Ace,19 IBU,4551.000000,Special roast,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,15.3°Blg,Westmalle Trappist Tripel,Light Lager
8.5%,6.1°Blg,Bitter Gold,6685.000000,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,Rolling Rock,40 IBU,Caramel,Kirin Inchiban
Carapils,Alpha King Pale Ale,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Paulaner,100 IBU,5925.000000,1056 - American Ale,6.8°Blg,Tahoma
Light Lager,1318 - London Ale III,15.3°Blg,Sorachi Ace,19 IBU,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Kirin,4551.000000,Special roast
Caramel,2042 - Danish Lager,Bitter Gold,6685.000000,Rolling Rock,40 IBU,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,6.1°Blg
6.8°Blg,Paulaner,5925.000000,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Tahoma,100 IBU,Carapils,Belgian Strong Ale,1056 - American Ale
Kirin,19 IBU,4551.000000,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Sorachi Ace,Special roast,1318 - London Ale III,15.3°Blg
Rolling Rock,Caramel,Dark Lager,6.1°Blg,Bitter Gold,40 IBU,6685.000000,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%
6.8°Blg,Tahoma,100 IBU,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Paulaner,5925.000000,Carapils,Belgian Strong Ale,1056 - American Ale
1318 - London Ale III,Light Lager,15.3°Blg,Kirin,Sorachi Ace,19 IBU,4551.000000,Special roast,Westmalle Trappist Tripel,2.9%,434e1596-f627-4f4f-926c-5993fea25d58
3c701fa7-00e4-4240-ae07-378d79f5b732,40 IBU,6685.000000,Caramel,Bitter Gold,Kirin Inchiban,Dark Lager,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock
6.8°Blg,5925.000000,Alpha King Pale Ale,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,Paulaner,Tahoma,100 IBU,Carapils
Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,19 IBU,15.3°Blg,Kirin,Sorachi Ace,4551.000000,Special roast,Light Lager,2.9%
Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,Bitter Gold,6685.000000,Caramel,40 IBU,Kirin Inchiban,8.5%,6.1°Blg,Rolling Rock
6.8°Blg,Tahoma,5925.000000,Belgian Strong Ale,6.8%,100 IBU,Carapils,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,Paulaner
